Kol1,Kol2,Kol3,Kol4,Odlicz
-0.28382286014502162,-0.07136850646849667,-0.071131022835904861,-0.089013353375081983,0
-0.27509206423501237,-0.090019386401337054,-0.094022949057865152,-0.086255177327263691,0
-0.27332870151427163,-0.036735165057213678,-0.035095219027426128,-0.03626206774189298,0
-0.27334366111317504,-0.022289802366097584,-0.030253918832306444,-0.037335418963213456,0
-0.2776408058981828,-0.10635900830359886,-0.10676852732358001,-0.10154575735642309,0
-0.27368960183781665,-0.11625852287793784,-0.12138031555249666,-0.13189504363173885,0
-0.2695551426908836,-0.060517187413927524,-0.055627268522371723,-0.074414654795205815,0
-0.28442498400088428,-0.06229363978370879,-0.066790869204049794,-0.0614689918941577,0
-0.2769246151006815,-0.12777928398343508,-0.12480419375151719,-0.13941598198043384,0
-0.27124183746724434,-0.15697294124346156,-0.16843012405361926,-0.15214286074751943,0
-0.26307950631556515,-0.088972214478097569,-0.087687558922266276,-0.082571376097296229,0
-0.28009605006820676,-0.087919432705269307,-0.095257115967397402,-0.09002125635119998,1
-0.28041768144463036,-0.15110877847332044,-0.14598137594917282,-0.14302311526602129,1
-0.26354512383143414,-0.14041827510696306,-0.14834125267618753,-0.15733945141659536,1
-0.26358252282869271,-0.082904227172897346,-0.080796793677377882,-0.099960039872660444,1
-0.27014230694784291,-0.072913085055274912,-0.075200033737635424,-0.073004712598558369,1
-0.26892496958707701,-0.12470695635864495,-0.12382620997320604,-0.14565600467302342,1
-0.26004831758775943,-0.12693219669552885,-0.13217740606104092,-0.12477053465398449,1
-0.26134232289290538,-0.047831447543826351,-0.047515426016991574,-0.033511371493526412,1
-0.27414399965450809,-0.057682343421729211,-0.059217572259192809,-0.060191816137778117,1
-0.27471994421228979,-0.11149202067733525,-0.11227178977017609,-0.10352977416098932,1
-0.27944343756604506,-0.10838229405528657,-0.11201560663895499,-0.11912889591753177,1
-0.27560069059772874,-0.036376134683531569,-0.043786745990313847,-0.044403829445079972,1
-0.24742615601299781,-0.027398505391615924,-0.031633941831147046,-0.045615556956257082,1
-0.24431268949122328,-0.11324790359862431,-0.11894564083096487,-0.1190559678728776,1
-0.25434310055596721,-0.10297626900156273,-0.10380091689111383,-0.099550520852679278,1
-0.25858040694536127,-0.044572124932743457,-0.039962698520626803,-0.039081952135187878,1
-0.25692176141694445,-0.060900527135827692,-0.065150923174262243,-0.076724042875921467,1
-0.25770714035937403,-0.11836408642359436,-0.1149514279237514,-0.12086607934019156,1
-0.26133484309345367,-0.1282262020006748,-0.13034859509509766,-0.12496500943972896,1
-0.26456611645659267,-0.046481343742792586,-0.054183667228191575,-0.040845314855928648,1
-0.27007124885305167,-0.07171818709286415,-0.073530168510041044,-0.086202818731101721,1
-0.27928262187783326,-0.14867036385206278,-0.14390386165146021,-0.15393240276634118,1
-0.26781421936849797,-0.12272854940366749,-0.12158227013769285,-0.13035794484441232,1
-0.26670159920005604,-0.063688622381452814,-0.068238210397955787,-0.05947001549068804,1
-0.27693770474972196,-0.067899749472765891,-0.067058272034448446,-0.084340348667625784,1
-0.28074866257036851,-0.12996712532306043,-0.13237562074651124,-0.14221529692523655,1
-0.27622525385194657,-0.10876750372704967,-0.11568257832015612,-0.11232788826606391,1
-0.27144753195216642,-0.027692087520095564,-0.030351156225178682,-0.02728817834970319,1
-0.27572971713827071,-0.073404881869224892,-0.082238525021695097,-0.089598647682178331,1
-0.28450352189512723,-0.14907801292218101,-0.15172960182781242,-0.15375288757950015,1
-0.27520052132706219,-0.11682698763626784,-0.12463963816357956,-0.11776570246745752,1
-0.27786706983159704,-0.040303029395679632,-0.040448885484987991,-0.032071510099072116,1
-0.28191364133497249,-0.05535986569197307,-0.059402697295622649,-0.067058272034448446,1
-0.28380977049598111,-0.1403266475636796,-0.14919394981368253,-0.14428346147363452,1
-0.27807463426638201,-0.099892721677595039,-0.097824557129197062,-0.11105632235927311,1
-0.2785496015315656,-0.016943615707987435,-0.024774965733928431,-0.028582183654849123,1
-0.28402107483049194,-0.053905044698615359,-0.05215851152664093,-0.052857872775375875,1
